Predator,Prey,Diet Percentage
AmLobster,AmLobster,0.097
AmLobster,AmPlaice,0.039
AmLobster,AtlHalibut,0.001
AmLobster,AtlScallop,0.013
AmLobster,Bacteria,14.184
AmLobster,BlackSeaBass,1.71E-04
AmLobster,Cod,0.164
AmLobster,Cusk,0.016
AmLobster,Detritus,18.085
AmLobster,Fourspot,4.12E-04
AmLobster,Haddock,0.102
AmLobster,LgCopepods,0.412
AmLobster,LittleSkate,0.004
AmLobster,Macrobenthos,61.061
AmLobster,Megabenthos,5.019
AmLobster,OceanPout,0.003
AmLobster,OtherDemersals,0.018
AmLobster,OtherSkates,0.086
AmLobster,Redfish,0.036
AmLobster,RedHake,0.034
AmLobster,SmCopepods,0.588
AmLobster,SummerFlounder,1.65E-04
AmLobster,Windowpane,0.001
AmLobster,WinterFlounder,0.008
AmLobster,WinterSkate,0.010
AmLobster,WitchFlounder,0.014
AmLobster,YTFlounder,0.003
AmPlaice,AtlScallop,0.280
AmPlaice,GelZooplankton,0.048
AmPlaice,Krill,1.097
AmPlaice,LgCopepods,1.86E-04
AmPlaice,Macrobenthos,89.272
AmPlaice,Megabenthos,1.205
AmPlaice,Micronekton,2.407
AmPlaice,NShrimp,0.775
AmPlaice,OtherDemersals,0.203
AmPlaice,OtherShrimps,3.737
AmPlaice,Redfish,0.286
AmPlaice,RedHake,0.165
AmPlaice,SilverHake,0.525
AtlHalibut,AmLobster,1.571
AtlHalibut,AmPlaice,3.141
AtlHalibut,AtlHerring,6.929
AtlHalibut,Cod,1.766
AtlHalibut,Haddock,2.262
AtlHalibut,Illex,6.855
AtlHalibut,Krill,0.126
AtlHalibut,Loligo,0.151
AtlHalibut,Macrobenthos,0.337
AtlHalibut,Megabenthos,16.880
AtlHalibut,Micronekton,3.858
AtlHalibut,NShrimp,2.771
AtlHalibut,OceanPout,8.837
AtlHalibut,OtherCephalopods,4.552
AtlHalibut,OtherDemersals,13.251
AtlHalibut,OtherShrimps,5.467
AtlHalibut,Redfish,1.759
AtlHalibut,RedHake,0.075
AtlHalibut,RiverHerring,0.739
AtlHalibut,SilverHake,11.144
AtlHalibut,SmPelagics,3.961
AtlHalibut,WitchFlounder,3.569
AtlHerring,AtlHerring,0.118
AtlHerring,GelZooplankton,0.348
AtlHerring,Krill,47.900
AtlHerring,LgCopepods,4.185
AtlHerring,Macrobenthos,9.236
AtlHerring,Megabenthos,0.028
AtlHerring,Micronekton,15.678
AtlHerring,OtherCephalopods,0.001
AtlHerring,OtherDemersals,0.015
AtlHerring,OtherShrimps,12.818
AtlHerring,Phytoplankton,0.009
AtlHerring,SilverHake,0.684
AtlHerring,SmCopepods,7.348
AtlHerring,SmPelagics,1.604
AtlMackerel,AmLobster,0.038
AtlMackerel,AtlHerring,0.029
AtlMackerel,Butterfish,1.142
AtlMackerel,GelZooplankton,0.457
AtlMackerel,Illex,1.100
AtlMackerel,Krill,31.271
AtlMackerel,LgCopepods,2.338
AtlMackerel,Loligo,0.286
AtlMackerel,Macrobenthos,10.791
AtlMackerel,Megabenthos,0.048
AtlMackerel,Micronekton,6.171
AtlMackerel,OtherCephalopods,0.042
AtlMackerel,OtherShrimps,6.077
AtlMackerel,SilverHake,0.107
AtlMackerel,SmCopepods,30.500
AtlMackerel,SmPelagics,9.604
AtlScallop,Bacteria,11.881
AtlScallop,Detritus,9.020
AtlScallop,Phytoplankton,79.099
Bacteria,Detritus,56.948
Bacteria,Phytoplankton,43.052
BaleenWhales,AmPlaice,0.205
BaleenWhales,AtlHalibut,0.038
BaleenWhales,AtlHerring,12.334
BaleenWhales,AtlMackerel,2.475
BaleenWhales,BlackSeaBass,0.002
BaleenWhales,Butterfish,0.001
BaleenWhales,Cod,4.932
BaleenWhales,Cusk,0.087
BaleenWhales,Fourspot,0.002
BaleenWhales,Haddock,0.542
BaleenWhales,Illex,2.836
BaleenWhales,Krill,9.170
BaleenWhales,LgCopepods,12.681
BaleenWhales,LittleSkate,0.023
BaleenWhales,Loligo,0.307
BaleenWhales,Mesopelagics,0.052
BaleenWhales,Micronekton,41.078
BaleenWhales,OceanPout,0.017
BaleenWhales,OtherDemersals,0.095
BaleenWhales,OtherSkates,1.100
BaleenWhales,Redfish,0.192
BaleenWhales,RedHake,0.181
BaleenWhales,RiverHerring,1.454
BaleenWhales,SmCopepods,3.412
BaleenWhales,SmPelagics,6.595
BaleenWhales,SummerFlounder,0.001
BaleenWhales,Windowpane,0.003
BaleenWhales,WinterFlounder,0.042
BaleenWhales,WinterSkate,0.053
BaleenWhales,WitchFlounder,0.074
BaleenWhales,YTFlounder,0.015
Barndoor,AmLobster,0.177
Barndoor,AmPlaice,0.481
Barndoor,AtlHerring,2.980
Barndoor,GelZooplankton,0.011
Barndoor,Goosefish,0.593
Barndoor,Haddock,3.186
Barndoor,Krill,3.054
Barndoor,LgCopepods,0.068
Barndoor,Macrobenthos,0.209
Barndoor,Megabenthos,51.753
Barndoor,Micronekton,8.732
Barndoor,NShrimp,3.483
Barndoor,OtherCephalopods,0.972
Barndoor,OtherDemersals,4.648
Barndoor,OtherShrimps,6.571
Barndoor,OtherSkates,0.024
Barndoor,Redfish,6.019
Barndoor,RedHake,0.747
Barndoor,RiverHerring,0.632
Barndoor,SilverHake,4.983
Barndoor,SmCopepods,0.015
Barndoor,SmFlatfishes,0.004
Barndoor,WitchFlounder,0.659
BlackSeaBass,AmLobster,3.978
BlackSeaBass,LittleSkate,8.753
BlackSeaBass,Loligo,4.774
BlackSeaBass,Macrobenthos,13.246
BlackSeaBass,Megabenthos,23.712
BlackSeaBass,Micronekton,27.604
BlackSeaBass,OtherCephalopods,2.387
BlackSeaBass,OtherDemersals,3.501
BlackSeaBass,OtherShrimps,12.045
Butterfish,GelZooplankton,58.896
Butterfish,Krill,1.711
Butterfish,LgCopepods,0.816
Butterfish,Macrobenthos,25.631
Butterfish,Micronekton,12.334
Butterfish,Phytoplankton,0.438
Butterfish,SmCopepods,0.174
Cod,AmLobster,0.609
Cod,AmPlaice,1.465
Cod,AtlHerring,19.111
Cod,AtlMackerel,0.828
Cod,AtlScallop,0.076
Cod,BlackSeaBass,0.002
Cod,Butterfish,0.202
Cod,Cod,0.609
Cod,GelZooplankton,0.038
Cod,Goosefish,1.327
Cod,Haddock,0.124
Cod,Illex,2.904
Cod,Krill,0.885
Cod,LgCopepods,0.012
Cod,Loligo,1.358
Cod,Macrobenthos,7.758
Cod,Megabenthos,15.458
Cod,Mesopelagics,0.001
Cod,Micronekton,2.161
Cod,NShrimp,0.737
Cod,OceanPout,0.627
Cod,OtherCephalopods,0.023
Cod,OtherDemersals,5.549
Cod,OtherPelagics,0.220
Cod,OtherShrimps,3.650
Cod,OtherSkates,0.150
Cod,Pollock,0.339
Cod,Redfish,1.446
Cod,RedHake,3.107
Cod,RiverHerring,0.900
Cod,Sharks,0.004
Cod,SilverHake,9.079
Cod,SmCopepods,0.002
Cod,SmFlatfishes,0.004
Cod,SmPelagics,17.468
Cod,SpinyDogfish,0.124
Cod,WhiteHake,0.411
Cod,Windowpane,0.007
Cod,WinterFlounder,0.907
Cod,WitchFlounder,0.253
Cod,YTFlounder,0.068
Cusk,AmLobster,7.000
Cusk,Illex,11.000
Cusk,Krill,0.573
Cusk,Macrobenthos,3.292
Cusk,Megabenthos,19.214
Cusk,Micronekton,13.533
Cusk,OtherCephalopods,0.082
Cusk,OtherDemersals,23.988
Cusk,OtherShrimps,4.821
Cusk,Redfish,11.396
Cusk,SilverHake,5.101
Fourspot,AmPlaice,0.674
Fourspot,Butterfish,0.257
Fourspot,Haddock,1.541
Fourspot,Illex,5.606
Fourspot,Krill,1.940
Fourspot,Loligo,0.254
Fourspot,Macrobenthos,5.571
Fourspot,Megabenthos,1.734
Fourspot,Micronekton,14.888
Fourspot,NShrimp,0.599
Fourspot,OtherCephalopods,9.470
Fourspot,OtherDemersals,9.181
Fourspot,OtherShrimps,34.697
Fourspot,Redfish,0.597
Fourspot,RedHake,3.727
Fourspot,SilverHake,6.890
Fourspot,SmFlatfishes,0.235
Fourspot,SmPelagics,2.140
GelZooplankton,AtlHerring,0.029
GelZooplankton,AtlMackerel,0.006
GelZooplankton,Bacteria,2.001
GelZooplankton,Butterfish,0.002
GelZooplankton,Detritus,10.003
GelZooplankton,GelZooplankton,4.867
GelZooplankton,Illex,0.008
GelZooplankton,LgCopepods,29.667
GelZooplankton,Loligo,0.001
GelZooplankton,Mesopelagics,2.92E-04
GelZooplankton,Micronekton,0.406
GelZooplankton,Microzooplankton,5.002
GelZooplankton,Phytoplankton,8.603
GelZooplankton,RiverHerring,0.008
GelZooplankton,SmCopepods,39.356
GelZooplankton,SmPelagics,0.041
Goosefish,AmLobster,0.447
Goosefish,AmPlaice,6.176
Goosefish,AtlHerring,7.386
Goosefish,AtlMackerel,0.336
Goosefish,BlackSeaBass,0.006
Goosefish,Butterfish,0.288
Goosefish,Cod,2.001
Goosefish,Fourspot,0.066
Goosefish,GelZooplankton,1.97E-04
Goosefish,Goosefish,6.202
Goosefish,Haddock,7.068
Goosefish,Illex,4.263
Goosefish,Krill,0.068
Goosefish,Loligo,0.430
Goosefish,Macrobenthos,0.490
Goosefish,Megabenthos,0.082
Goosefish,Micronekton,0.281
Goosefish,NShrimp,0.243
Goosefish,OceanPout,1.746
Goosefish,OtherCephalopods,0.050
Goosefish,OtherDemersals,11.569
Goosefish,OtherShrimps,0.413
Goosefish,OtherSkates,2.756
Goosefish,Pollock,0.295
Goosefish,Redfish,8.944
Goosefish,RedHake,3.927
Goosefish,RiverHerring,1.691
Goosefish,SilverHake,15.183
Goosefish,SmFlatfishes,0.020
Goosefish,SmPelagics,5.270
Goosefish,SpinyDogfish,1.598
Goosefish,WhiteHake,8.318
Goosefish,Windowpane,0.098
Goosefish,WinterFlounder,0.613
Goosefish,WitchFlounder,1.025
Goosefish,YTFlounder,0.650
Haddock,AmLobster,0.088
Haddock,AtlHerring,3.459
Haddock,AtlScallop,0.138
Haddock,Butterfish,0.223
Haddock,GelZooplankton,0.442
Haddock,Illex,1.730
Haddock,Krill,3.574
Haddock,LgCopepods,0.033
Haddock,Macrobenthos,74.794
Haddock,Megabenthos,2.784
Haddock,Mesopelagics,0.033
Haddock,Micronekton,2.192
Haddock,NShrimp,0.217
Haddock,OceanPout,0.027
Haddock,OtherCephalopods,0.009
Haddock,OtherDemersals,0.129
Haddock,OtherShrimps,2.630
Haddock,Redfish,0.441
Haddock,RedHake,0.011
Haddock,RiverHerring,0.199
Haddock,SilverHake,2.172
Haddock,SmCopepods,0.007
Haddock,SmPelagics,4.668
HMS,AtlHerring,14.329
HMS,AtlMackerel,2.875
HMS,Butterfish,0.815
HMS,GelZooplankton,9.438
HMS,Illex,2.238
HMS,Loligo,0.242
HMS,Mesopelagics,0.449
HMS,RiverHerring,12.575
HMS,SmPelagics,57.039
Illex,AtlHerring,0.599
Illex,AtlMackerel,0.120
Illex,Butterfish,0.034
Illex,Illex,1.923
Illex,Krill,9.180
Illex,LgCopepods,8.288
Illex,Loligo,0.208
Illex,Macrobenthos,16.767
Illex,Mesopelagics,0.005
Illex,Micronekton,57.889
Illex,NShrimp,0.709
Illex,OtherShrimps,1.653
Illex,RiverHerring,0.136
Illex,SmCopepods,1.773
Illex,SmPelagics,0.716
Krill,Detritus,18.400
Krill,Krill,0.847
Krill,LgCopepods,30.184
Krill,Micronekton,3.793
Krill,Phytoplankton,18.240
Krill,SmCopepods,28.536
LgCopepods,Bacteria,1.000
LgCopepods,Detritus,6.196
LgCopepods,GelZooplankton,2.393
LgCopepods,LgCopepods,12.764
LgCopepods,Macrobenthos,0.208
LgCopepods,Microzooplankton,3.288
LgCopepods,Phytoplankton,63.179
LgCopepods,SmCopepods,10.973
LittleSkate,AmLobster,1.696
LittleSkate,AmPlaice,0.312
LittleSkate,AtlHerring,1.132
LittleSkate,AtlScallop,0.028
LittleSkate,BlackSeaBass,0.034
LittleSkate,GelZooplankton,0.092
LittleSkate,Krill,2.260
LittleSkate,LgCopepods,0.062
LittleSkate,Loligo,0.957
LittleSkate,Macrobenthos,47.171
LittleSkate,Megabenthos,12.964
LittleSkate,Micronekton,4.386
LittleSkate,NShrimp,0.558
LittleSkate,OceanPout,0.112
LittleSkate,OtherCephalopods,0.701
LittleSkate,OtherDemersals,2.099
LittleSkate,OtherPelagics,0.820
LittleSkate,OtherShrimps,16.889
LittleSkate,Redfish,0.089
LittleSkate,RedHake,0.115
LittleSkate,SilverHake,1.729
LittleSkate,SmCopepods,0.013
LittleSkate,SmPelagics,5.410
LittleSkate,WinterFlounder,0.369
LittleSkate,YTFlounder,0.002
Loligo,AtlHerring,0.599
Loligo,AtlMackerel,0.120
Loligo,Butterfish,0.034
Loligo,Illex,1.923
Loligo,Krill,9.180
Loligo,LgCopepods,8.288
Loligo,Loligo,0.208
Loligo,Macrobenthos,16.767
Loligo,Mesopelagics,0.005
Loligo,Micronekton,57.889
Loligo,NShrimp,0.709
Loligo,OtherShrimps,1.653
Loligo,RiverHerring,0.136
Loligo,SmCopepods,1.773
Loligo,SmPelagics,0.716
Macrobenthos,AmLobster,0.009
Macrobenthos,AmPlaice,0.012
Macrobenthos,AtlHalibut,1.78E-06
Macrobenthos,AtlScallop,0.002
Macrobenthos,Bacteria,22.645
Macrobenthos,BlackSeaBass,1.43E-05
Macrobenthos,Cod,0.052
Macrobenthos,Cusk,0.005
Macrobenthos,Detritus,42.866
Macrobenthos,Fourspot,2.73E-05
Macrobenthos,Haddock,0.032
Macrobenthos,Krill,1.059
Macrobenthos,LgCopepods,0.192
Macrobenthos,LittleSkate,0.001
Macrobenthos,Macrobenthos,7.268
Macrobenthos,Megabenthos,0.529
Macrobenthos,Micronekton,4.744
Macrobenthos,OceanPout,0.001
Macrobenthos,OtherDemersals,0.006
Macrobenthos,OtherSkates,0.009
Macrobenthos,Phytoplankton,20.510
Macrobenthos,Redfish,2.58E-04
Macrobenthos,RedHake,0.011
Macrobenthos,SmCopepods,0.038
Macrobenthos,SummerFlounder,5.09E-05
Macrobenthos,Windowpane,2.04E-04
Macrobenthos,WinterFlounder,4.45E-04
Macrobenthos,WinterSkate,0.003
Macrobenthos,WitchFlounder,0.004
Macrobenthos,YTFlounder,0.001
Megabenthos,AmLobster,0.053
Megabenthos,AmPlaice,0.021
Megabenthos,AtlHalibut,0.001
Megabenthos,AtlScallop,0.007
Megabenthos,Bacteria,13.139
Megabenthos,BlackSeaBass,9.35E-05
Megabenthos,Cod,0.090
Megabenthos,Cusk,0.009
Megabenthos,Detritus,13.973
Megabenthos,Fourspot,2.25E-04
Megabenthos,Haddock,0.056
Megabenthos,LittleSkate,0.002
Megabenthos,Macrobenthos,33.908
Megabenthos,Megabenthos,2.742
Megabenthos,OceanPout,0.002
Megabenthos,OtherDemersals,0.010
Megabenthos,OtherSkates,0.047
Megabenthos,Phytoplankton,35.882
Megabenthos,Redfish,0.020
Megabenthos,RedHake,0.019
Megabenthos,SummerFlounder,8.99E-05
Megabenthos,Windowpane,3.60E-04
Megabenthos,WinterFlounder,0.004
Megabenthos,WinterSkate,0.005
Megabenthos,WitchFlounder,0.008
Megabenthos,YTFlounder,0.002
Mesopelagics,LgCopepods,82.381
Mesopelagics,SmCopepods,17.619
Micronekton,Detritus,18.400
Micronekton,Krill,0.847
Micronekton,LgCopepods,30.184
Micronekton,Micronekton,3.793
Micronekton,Phytoplankton,18.240
Micronekton,SmCopepods,28.536
Microzooplankton,Bacteria,19.717
Microzooplankton,Detritus,49.407
Microzooplankton,Microzooplankton,9.703
Microzooplankton,Phytoplankton,21.174
NShrimp,Bacteria,44.731
NShrimp,Detritus,21.198
NShrimp,Krill,2.755
NShrimp,Macrobenthos,11.299
NShrimp,Micronekton,12.342
NShrimp,NShrimp,0.038
NShrimp,OtherShrimps,0.088
NShrimp,Phytoplankton,7.548
OceanPout,AtlScallop,6.771
OceanPout,GelZooplankton,0.025
OceanPout,Krill,0.003
OceanPout,LgCopepods,1.04E-04
OceanPout,Macrobenthos,79.552
OceanPout,Megabenthos,13.359
OceanPout,Micronekton,0.145
OceanPout,OtherShrimps,0.021
OceanPout,SmCopepods,2.23E-05
OceanPout,SmPelagics,0.124
Odontocetes,AmPlaice,1.493
Odontocetes,AtlHalibut,0.135
Odontocetes,AtlHerring,18.195
Odontocetes,AtlMackerel,3.651
Odontocetes,BlackSeaBass,0.009
Odontocetes,Butterfish,1.035
Odontocetes,Cod,17.595
Odontocetes,Cusk,0.630
Odontocetes,Fourspot,0.016
Odontocetes,Haddock,3.939
Odontocetes,Illex,32.957
Odontocetes,Krill,0.005
Odontocetes,LittleSkate,0.171
Odontocetes,Loligo,3.565
Odontocetes,Macrobenthos,0.518
Odontocetes,Mesopelagics,0.042
Odontocetes,Micronekton,0.022
Odontocetes,NShrimp,0.008
Odontocetes,OceanPout,0.120
Odontocetes,OtherDemersals,0.690
Odontocetes,OtherShrimps,0.019
Odontocetes,OtherSkates,4.557
Odontocetes,Redfish,1.399
Odontocetes,RedHake,1.319
Odontocetes,RiverHerring,1.182
Odontocetes,SmPelagics,5.360
Odontocetes,SummerFlounder,0.006
Odontocetes,Windowpane,0.025
Odontocetes,WinterFlounder,0.304
Odontocetes,WinterSkate,0.386
Odontocetes,WitchFlounder,0.535
Odontocetes,YTFlounder,0.111
OtherCephalopods,AtlHerring,0.599
OtherCephalopods,AtlMackerel,0.120
OtherCephalopods,Butterfish,0.034
OtherCephalopods,Illex,1.923
OtherCephalopods,Krill,9.180
OtherCephalopods,LgCopepods,8.288
OtherCephalopods,Loligo,0.208
OtherCephalopods,Macrobenthos,16.767
